n_steps,time,mean_reward,mean_length
507,0h0min4s,0.31,50.7
1461,0h0min16s,0.33,73.05
2078,0h0min31s,0.33,69.27
2631,0h0min46s,0.32,65.78
3039,0h0min57s,0.3,60.78
3535,0h1min10s,0.3,60.31
4100,0h1min26s,0.29,55.29
4803,0h1min43s,0.27,54.22
5301,0h1min56s,0.25,53.0
6030,0h2min15s,0.26,59.59
6959,0h2min37s,0.25,69.1
7473,0h2min51s,0.23,67.31
8109,0h3min5s,0.22,65.24
8802,0h3min22s,0.21,69.35
9283,0h3min37s,0.2,64.22
9809,0h3min51s,0.2,56.9
10506,0h4min9s,0.21,61.43
11112,0h4min25s,0.22,59.27
11877,0h4min45s,0.25,60.78
12435,0h5min1s,0.25,62.29
13142,0h5min19s,0.26,66.61
13977,0h5min42s,0.27,70.02
14849,0h6min3s,0.28,73.51
15597,0h6min21s,0.27,74.9
16305,0h6min38s,0.27,76.25
16857,0h6min52s,0.26,74.8
17766,0h7min14s,0.24,76.25
18576,0h7min34s,0.21,75.04
19088,0h7min48s,0.21,70.41
19802,0h8min6s,0.19,70.53
20597,0h8min25s,0.21,74.82
21024,0h8min37s,0.22,65.84
21611,0h8min54s,0.22,61.47
22326,0h9min14s,0.23,64.65
23058,0h9min30s,0.24,64.24
23848,0h9min49s,0.25,67.02
24416,0h10min4s,0.24,66.96
25245,0h10min23s,0.25,72.08
26249,0h10min46s,0.26,80.57
26955,0h11min2s,0.25,77.35
27557,0h11min18s,0.24,73.73
27932,0h11min27s,0.24,69.27
28609,0h11min45s,0.25,67.92
29395,0h12min4s,0.24,64.78
30130,0h12min22s,0.23,62.35
30699,0h12min36s,0.24,62.96
31335,0h12min52s,0.25,67.24
31986,0h13min9s,0.24,68.18
32436,0h13min21s,0.24,61.59
32950,0h13min33s,0.22,55.84
33464,0h13min46s,0.22,55.06
34331,0h14min9s,0.22,59.1
35092,0h14min29s,0.22,61.37
35721,0h14min45s,0.2,66.37
36440,0h15min3s,0.22,68.84
37026,0h15min18s,0.22,70.8
37635,0h15min35s,0.22,66.51
38259,0h15min51s,0.21,64.33
39173,0h16min15s,0.23,69.65
39852,0h16min32s,0.22,67.39
40339,0h16min47s,0.21,67.49
40992,0h17min5s,0.22,66.84
41626,0h17min21s,0.21,67.98
42314,0h17min39s,0.19,62.76
43189,0h18min2s,0.18,66.29
44010,0h18min23s,0.19,73.08
44765,0h18min45s,0.19,75.94
45521,0h19min6s,0.2,78.33
46130,0h19min23s,0.21,75.2
46815,0h19min43s,0.22,73.06
47722,0h20min6s,0.22,74.31
48438,0h20min26s,0.22,73.08
49174,0h20min45s,0.19,72.25
49823,0h21min2s,0.19,75.14
50645,0h21min23s,0.2,77.06
51638,0h21min48s,0.22,78.75
52470,0h22min9s,0.21,80.08
53530,0h22min36s,0.22,85.98
54357,0h22min57s,0.21,90.61
55324,0h23min22s,0.19,93.71
55883,0h23min37s,0.16,85.2
56429,0h23min52s,0.16,79.59
57128,0h24min10s,0.16,74.08
57910,0h24min30s,0.16,71.63
58812,0h24min51s,0.18,70.35
59394,0h25min7s,0.19,70.8
60063,0h25min25s,0.19,73.22
61004,0h25min50s,0.22,77.41
61595,0h26min6s,0.21,74.22
62358,0h26min28s,0.21,71.49
63019,0h26min45s,0.24,73.04
63472,0h26min57s,0.22,67.06
