Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.46,0h0min0s,-79.95660400390625
197.41519165039065,1000,0.76,0h3min17s,520.062255859375
446.8773367404938,1500,0.93,0h7min26s,860.073486328125
573.4907007217407,2000,0.98,0h9min33s,960.0786743164062
667.1253371238708,2500,0.95,0h11min7s,900.0767211914062
760.2347691059113,3000,0.97,0h12min40s,940.0769653320312
852.7491180896759,3500,0.99,0h14min12s,980.0794067382812
944.3814535140992,4000,0.99,0h15min44s,980.078125
1037.720671415329,4500,0.97,0h17min17s,940.076904296875
1130.476155281067,5000,0.99,0h18min50s,980.0775146484376
1222.054665327072,5500,0.98,0h20min22s,960.0740966796876
1312.6610531806946,6000,1.0,0h21min52s,1000.0724487304688
1399.2908370494845,6500,0.98,0h23min19s,960.0643920898438
1483.448133945465,7000,1.0,0h24min43s,1000.0654296875
1567.6555762290957,7500,1.0,0h26min7s,1000.0642700195312
1650.8146107196808,8000,1.0,0h27min30s,1000.0637817382812
1734.9615421295166,8500,0.99,0h28min54s,980.0630493164062
1814.8901529312132,9000,1.0,0h30min14s,1000.0606079101562
1895.285994052887,9500,0.99,0h31min35s,980.0591430664062
1975.4385032653809,10000,1.0,0h32min55s,1000.0586547851562
