n_steps,time,mean_reward
266,0h1min0s,0.78
665,0h2min1s,0.78
1112,0h3min1s,0.83
1584,0h4min2s,0.88
2093,0h5min3s,0.9
2569,0h6min4s,0.89
3257,0h7min4s,0.91
3939,0h8min5s,0.95
4728,0h9min6s,0.95
5537,0h10min6s,0.95
6463,0h11min7s,0.96
8604,0h12min7s,0.97
11968,0h13min7s,0.99
19642,0h14min7s,1.0
32690,0h15min7s,1.0
63869,0h16min8s,0.99
85833,0h17min8s,1.0
119801,0h18min8s,1.0
163541,0h19min8s,1.0
211615,0h20min8s,1.0
269941,0h21min8s,1.0
319883,0h22min8s,1.0
377783,0h23min8s,1.0
428996,0h24min8s,1.0
480293,0h25min8s,1.0
