n_steps,time,mean_reward
269,0h1min0s,0.7
688,0h2min0s,0.72
1153,0h3min1s,0.78
1698,0h4min2s,0.87
2258,0h5min2s,0.88
2865,0h6min3s,0.86
3514,0h7min5s,0.91
4262,0h8min5s,0.92
5104,0h9min6s,0.96
5908,0h10min6s,0.95
6980,0h11min7s,0.94
8399,0h12min7s,0.97
12366,0h13min8s,0.99
18188,0h14min8s,0.99
44687,0h15min8s,1.0
76746,0h16min8s,1.0
112344,0h17min8s,1.0
149938,0h18min8s,1.0
176123,0h19min8s,1.0
192545,0h20min9s,1.0
203545,0h21min9s,1.0
215040,0h22min9s,1.0
234653,0h23min9s,1.0
246730,0h24min9s,1.0
258398,0h25min9s,1.0
