n_steps,time,mean_reward,mean_length
919,0h0min5s,0.47,91.9
1582,0h0min16s,0.39,79.1
2735,0h0min44s,0.39,91.17
3726,0h1min6s,0.38,93.15
4500,0h1min25s,0.37,90.0
5520,0h1min49s,0.34,92.78
6524,0h2min13s,0.33,100.16
7229,0h2min30s,0.31,91.41
8197,0h2min53s,0.26,90.57
9079,0h3min15s,0.26,91.75
9747,0h3min32s,0.23,85.35
10682,0h3min55s,0.2,82.76
11564,0h4min16s,0.19,85.49
12624,0h4min42s,0.21,88.76
13553,0h5min6s,0.2,90.69
14274,0h5min22s,0.19,90.73
15100,0h5min44s,0.21,88.59
15904,0h6min5s,0.2,86.39
16733,0h6min25s,0.19,83.47
17605,0h6min47s,0.19,80.06
18323,0h7min7s,0.2,82.08
19365,0h7min33s,0.21,85.59
20147,0h7min53s,0.2,83.8
20999,0h8min14s,0.21,85.0
21806,0h8min34s,0.21,83.06
22622,0h8min54s,0.22,85.25
23732,0h9min19s,0.22,87.25
24565,0h9min39s,0.23,87.65
25442,0h10min0s,0.24,88.86
26368,0h10min23s,0.26,90.29
27162,0h10min44s,0.26,89.55
27776,0h11min1s,0.26,81.16
28452,0h11min20s,0.25,76.63
29223,0h11min39s,0.25,76.1
29962,0h11min56s,0.24,72.43
30654,0h12min14s,0.23,69.1
31337,0h12min32s,0.24,73.14
31960,0h12min47s,0.23,70.75
33045,0h13min12s,0.23,76.9
34120,0h13min38s,0.22,84.18
34917,0h13min58s,0.22,85.55
35616,0h14min15s,0.21,85.65
36336,0h14min33s,0.2,86.04
37240,0h14min53s,0.16,84.22
38132,0h15min13s,0.14,80.63
38930,0h15min33s,0.14,78.86
39705,0h15min52s,0.13,80.33
40698,0h16min15s,0.13,87.49
41366,0h16min31s,0.15,82.86
42277,0h16min53s,0.17,81.41
42911,0h17min10s,0.17,80.67
43671,0h17min30s,0.17,79.73
44637,0h17min52s,0.17,77.49
45519,0h18min12s,0.18,83.39
46268,0h18min29s,0.19,80.22
47124,0h18min48s,0.18,83.31
47848,0h19min6s,0.2,83.86
48776,0h19min29s,0.21,83.12
49547,0h19min50s,0.24,81.88
50410,0h20min11s,0.23,82.9
51217,0h20min30s,0.23,80.41
51999,0h20min49s,0.23,83.35
52695,0h21min7s,0.22,78.8
53470,0h21min27s,0.22,78.88
54271,0h21min46s,0.23,76.96
55205,0h22min9s,0.24,78.86
55979,0h22min29s,0.23,80.0
56655,0h22min46s,0.22,78.27
57559,0h23min7s,0.21,82.67
58501,0h23min30s,0.19,85.22
59481,0h23min54s,0.16,84.27
60490,0h24min18s,0.17,90.41
61367,0h24min40s,0.16,94.35
62296,0h25min3s,0.15,94.84
63159,0h25min23s,0.14,93.29
64047,0h25min46s,0.14,91.49
64865,0h26min8s,0.12,87.75
65810,0h26min32s,0.14,89.08
66693,0h26min55s,0.13,88.18
67693,0h27min21s,0.11,89.45
68491,0h27min44s,0.09,89.1
69469,0h28min10s,0.09,91.35
70348,0h28min37s,0.07,90.94
71179,0h29min0s,0.08,89.92
71928,0h29min21s,0.11,85.0
72709,0h29min41s,0.12,84.67
73356,0h29min57s,0.13,78.18
74182,0h30min19s,0.16,76.8
75113,0h30min42s,0.12,79.1
76113,0h31min7s,0.11,82.59
77039,0h31min31s,0.12,85.65
77948,0h31min54s,0.1,92.0
78973,0h32min20s,0.08,95.82
79755,0h32min43s,0.09,91.63
80666,0h33min6s,0.1,91.24
81354,0h33min27s,0.12,86.57
82166,0h33min51s,0.16,84.67
82854,0h34min12s,0.21,78.06
83658,0h34min37s,0.24,78.49
84500,0h34min58s,0.27,77.14
85514,0h35min25s,0.29,84.92
