n_steps,time,mean_reward,mean_length
701,0h0min5s,0.37,70.1
1341,0h0min15s,0.32,67.05
2152,0h0min35s,0.34,71.73
2662,0h0min50s,0.33,66.55
3317,0h1min8s,0.33,66.34
4238,0h1min35s,0.33,71.14
4896,0h1min53s,0.32,70.08
5442,0h2min7s,0.3,67.33
6257,0h2min30s,0.29,71.61
6870,0h2min46s,0.26,70.18
7520,0h3min5s,0.25,66.12
8218,0h3min24s,0.24,67.2
9223,0h3min50s,0.26,76.1
9858,0h4min8s,0.26,73.43
10356,0h4min23s,0.27,69.14
10933,0h4min38s,0.24,67.71
11595,0h4min57s,0.25,67.82
12452,0h5min21s,0.23,65.53
13306,0h5min44s,0.23,69.57
14105,0h6min6s,0.24,73.94
14873,0h6min26s,0.27,77.84
15492,0h6min44s,0.27,76.92
16322,0h7min7s,0.27,77.84
16976,0h7min26s,0.27,74.41
17654,0h7min46s,0.27,72.9
18546,0h8min9s,0.26,74.84
19115,0h8min24s,0.25,71.63
19851,0h8min43s,0.24,70.08
20358,0h8min59s,0.24,66.94
21186,0h9min22s,0.23,71.22
21801,0h9min40s,0.23,65.78
22374,0h9min56s,0.24,65.86
23043,0h10min15s,0.25,63.39
23531,0h10min27s,0.25,62.78
24114,0h10min43s,0.25,59.37
24968,0h11min5s,0.27,65.0
25453,0h11min19s,0.24,62.33
25994,0h11min35s,0.22,59.82
26566,0h11min50s,0.21,60.47
27316,0h12min8s,0.19,63.51
28034,0h12min28s,0.18,61.31
28702,0h12min46s,0.18,64.1
29434,0h13min7s,0.18,69.41
30209,0h13min28s,0.18,71.96
30991,0h13min50s,0.19,74.02
31416,0h14min3s,0.18,68.27
32019,0h14min18s,0.2,66.53
32411,0h14min31s,0.2,59.18
33152,0h14min52s,0.2,59.67
33679,0h15min6s,0.22,53.1
34090,0h15min19s,0.23,53.65
34657,0h15min34s,0.21,51.9
35238,0h15min51s,0.21,55.82
35747,0h16min7s,0.21,54.02
36436,0h16min26s,0.2,54.53
37049,0h16min45s,0.2,59.16
37534,0h17min0s,0.2,56.94
38457,0h17min25s,0.22,64.04
38992,0h17min41s,0.22,64.57
39755,0h18min2s,0.22,66.1
40295,0h18min18s,0.22,66.18
40952,0h18min39s,0.21,68.02
41575,0h18min57s,0.22,63.14
42133,0h19min13s,0.21,62.37
42673,0h19min28s,0.21,57.88
43219,0h19min45s,0.22,59.29
44003,0h20min6s,0.23,60.55
44559,0h20min21s,0.22,59.24
45089,0h20min36s,0.23,59.92
45699,0h20min53s,0.24,61.86
46369,0h21min12s,0.25,62.63
47172,0h21min33s,0.26,64.37
47744,0h21min49s,0.28,63.73
48264,0h22min6s,0.27,63.55
48987,0h22min26s,0.27,65.9
49680,0h22min43s,0.25,65.75
50425,0h23min4s,0.23,65.75
50888,0h23min19s,0.2,62.04
51586,0h23min37s,0.2,65.55
52137,0h23min53s,0.2,63.73
52691,0h24min9s,0.19,59.61
53168,0h24min23s,0.19,56.53
53821,0h24min41s,0.21,58.84
54413,0h24min58s,0.21,57.39
55032,0h25min18s,0.24,57.53
55663,0h25min36s,0.23,60.24
56369,0h25min55s,0.24,63.45
57162,0h26min16s,0.23,66.53
57753,0h26min33s,0.22,67.45
58650,0h26min56s,0.19,71.96
59569,0h27min20s,0.18,77.02
60262,0h27min40s,0.18,78.29
60870,0h27min57s,0.17,73.14
61423,0h28min14s,0.17,72.69
62249,0h28min35s,0.19,72.53
62984,0h28min55s,0.21,68.92
