n_steps,time,mean_reward
3139,0h1min50s,0.23
6163,0h2min56s,0.23
9192,0h4min6s,0.24
9437,0h5min15s,0.21
12438,0h6min20s,0.23
15439,0h7min33s,0.25
15688,0h8min39s,0.24
18809,0h10min17s,0.23
22211,0h11min57s,0.23
25352,0h13min48s,0.22
28392,0h14min58s,0.23
31393,0h15min59s,0.23
31706,0h17min0s,0.24
34816,0h18min35s,0.24
37911,0h20min2s,0.24
41021,0h21min14s,0.25
44089,0h22min24s,0.25
44533,0h23min34s,0.25
47560,0h24min35s,0.25
50872,0h26min24s,0.24
54253,0h28min14s,0.25
60255,0h30min2s,0.25
63550,0h31min54s,0.25
66551,0h33min17s,0.25
69681,0h35min56s,0.25
69953,0h37min1s,0.25
72954,0h39min5s,0.26
76060,0h41min41s,0.26
79258,0h43min8s,0.27
82304,0h44min15s,0.26
85370,0h45min30s,0.26
88394,0h46min33s,0.26
91441,0h47min41s,0.27
97443,0h49min41s,0.28
103445,0h51min47s,0.28
106619,0h53min3s,0.28
112656,0h54min48s,0.28
118690,0h56min34s,0.28
121839,0h57min38s,0.29
124971,0h58min50s,0.29
128135,1h0min2s,0.29
131269,1h1min26s,0.3
134511,1h3min1s,0.3
139456,1h4min26s,0.3
