n_steps,time,mean_reward
201,0h1min2s,0.51
446,0h2min6s,0.56
678,0h3min8s,0.59
925,0h4min9s,0.63
1175,0h5min12s,0.68
1417,0h6min14s,0.71
1672,0h7min17s,0.74
1942,0h8min18s,0.77
2197,0h9min19s,0.77
2492,0h10min21s,0.79
2766,0h11min21s,0.81
3024,0h12min22s,0.82
3296,0h13min24s,0.83
3556,0h14min24s,0.83
3834,0h15min25s,0.86
4126,0h16min26s,0.87
4406,0h17min27s,0.88
4701,0h18min29s,0.89
5003,0h19min32s,0.9
5330,0h20min32s,0.92
5681,0h21min32s,0.92
6036,0h22min33s,0.91
6392,0h23min35s,0.9
6782,0h24min36s,0.88
7178,0h25min37s,0.88
7611,0h26min37s,0.91
8062,0h27min38s,0.91
8558,0h28min40s,0.93
9083,0h29min40s,0.93
9708,0h30min40s,0.94
10343,0h31min41s,0.92
11002,0h32min41s,0.93
11703,0h33min43s,0.94
12366,0h34min44s,0.96
13260,0h35min44s,0.96
14268,0h36min45s,0.98
15542,0h37min46s,0.98
16697,0h38min46s,0.99
18174,0h39min48s,0.99
19719,0h40min48s,0.98
20955,0h41min48s,0.96
22664,0h42min49s,0.99
