n_steps,time,mean_reward
198,0h1min3s,0.56
422,0h2min4s,0.63
671,0h3min6s,0.67
936,0h4min8s,0.69
1194,0h5min10s,0.74
1470,0h6min12s,0.78
1756,0h7min14s,0.79
2052,0h8min15s,0.82
2356,0h9min16s,0.84
2657,0h10min16s,0.86
2976,0h11min17s,0.87
3316,0h12min19s,0.87
3658,0h13min20s,0.86
3999,0h14min22s,0.84
4354,0h15min23s,0.85
4707,0h16min24s,0.87
5099,0h17min26s,0.88
5483,0h18min27s,0.89
5881,0h19min29s,0.9
6236,0h20min30s,0.9
6656,0h21min32s,0.9
7082,0h22min34s,0.91
7501,0h23min35s,0.91
7986,0h24min36s,0.91
8440,0h25min38s,0.92
8980,0h26min39s,0.93
9558,0h27min40s,0.94
10147,0h28min40s,0.94
10829,0h29min41s,0.96
11486,0h30min42s,0.96
12269,0h31min42s,0.97
13132,0h32min43s,0.97
14049,0h33min44s,0.97
14883,0h34min44s,0.97
15963,0h35min45s,0.98
17173,0h36min47s,0.99
18768,0h37min48s,0.99
20123,0h38min48s,1.0
21386,0h39min48s,0.99
22734,0h40min48s,0.99
24304,0h41min49s,0.99
25894,0h42min50s,0.99
