n_steps,time,mean_reward
11,0h2min36s,0.56
14,0h3min52s,0.37
19,0h5min45s,0.39
29,0h7min55s,0.37
34,0h9min48s,0.39
42,0h11min3s,0.41
57,0h12min21s,0.41
63,0h13min33s,0.39
79,0h14min51s,0.42
98,0h17min29s,0.42
123,0h18min32s,0.42
145,0h20min28s,0.44
151,0h21min44s,0.44
160,0h23min45s,0.44
195,0h25min55s,0.44
300,0h27min2s,0.46
332,0h28min36s,0.46
378,0h29min36s,0.46
477,0h30min38s,0.46
601,0h31min45s,0.46
1341,0h33min59s,0.46
2194,0h36min26s,0.46
5182,0h46min6s,0.46
5740,0h47min39s,0.46
28994,1h14min35s,0.46
