n_steps,time,mean_reward
60,0h1min0s,0.52
147,0h2min12s,0.46
210,0h4min33s,0.43
422,0h6min50s,0.46
576,0h7min51s,0.47
937,0h8min54s,0.51
1463,0h10min0s,0.51
2298,0h11min5s,0.55
3400,0h12min9s,0.6
4039,0h13min11s,0.65
4690,0h14min13s,0.69
4908,0h15min14s,0.68
5693,0h16min14s,0.71
6462,0h17min16s,0.74
7067,0h18min23s,0.74
7665,0h19min23s,0.74
8414,0h20min27s,0.75
8968,0h21min31s,0.76
9516,0h22min32s,0.77
10182,0h23min34s,0.77
10804,0h24min37s,0.78
11401,0h25min39s,0.78
12122,0h26min40s,0.79
12781,0h27min43s,0.79
13769,0h28min47s,0.81
14372,0h29min49s,0.82
15246,0h30min51s,0.82
16007,0h31min54s,0.83
17684,0h32min57s,0.82
