Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.3,0h0min0s,-759.9641723632812
543.4783239364624,1000,0.32,0h9min3s,-359.9318542480469
754.6554210186005,1500,0.55,0h12min34s,100.08966064453124
880.9813454151154,2000,0.61,0h14min40s,220.0893402099609
1073.4244766235352,2500,0.67,0h17min53s,340.0814208984375
1171.8883230686188,3000,0.86,0h19min31s,720.1148681640625
1339.2064275741575,3500,0.9,0h22min19s,800.098388671875
1438.16992354393,4000,0.87,0h23min58s,740.0933837890625
1537.4611823558807,4500,0.93,0h25min37s,860.0964965820312
1634.5315036773682,5000,0.95,0h27min14s,900.094970703125
1732.2790522575378,5500,0.94,0h28min52s,880.0941162109375
1831.5676276683807,6000,0.95,0h30min31s,900.0927734375
1933.518241882324,6500,0.95,0h32min13s,900.0910034179688
2041.707845449448,7000,0.93,0h34min1s,860.0859375
2150.3066182136536,7500,0.99,0h35min50s,980.0888061523438
2260.648177862168,8000,0.97,0h37min40s,940.0867309570312
2371.4856526851654,8500,0.98,0h39min31s,960.0874633789062
2482.0678169727325,9000,0.99,0h41min22s,980.0883178710938
2591.942407608032,9500,0.99,0h43min11s,980.0880126953124
2702.96932888031,10000,0.99,0h45min2s,980.0877685546876
