n_steps,time,mean_reward
1,0h1min26s,0.2
6,0h3min1s,0.47
9,0h4min45s,0.45
15,0h7min47s,0.52
21,0h9min30s,0.47
23,0h11min34s,0.43
29,0h12min55s,0.47
34,0h14min11s,0.47
37,0h15min32s,0.47
39,0h16min45s,0.45
48,0h18min10s,0.46
63,0h19min23s,0.5
85,0h21min41s,0.54
115,0h23min36s,0.57
134,0h26min5s,0.57
192,0h27min8s,0.6
211,0h29min12s,0.61
273,0h30min26s,0.61
288,0h32min24s,0.62
400,0h33min24s,0.62
512,0h35min34s,0.63
671,0h36min56s,0.62
1214,0h40min2s,0.63
2851,0h42min11s,0.63
