n_steps,time,mean_reward
3,0h1min42s,0.2
9,0h3min24s,0.25
12,0h4min27s,0.23
14,0h5min35s,0.29
21,0h7min11s,0.33
31,0h8min19s,0.34
35,0h9min19s,0.36
40,0h11min5s,0.34
58,0h12min42s,0.39
67,0h13min48s,0.41
83,0h15min4s,0.41
124,0h16min55s,0.42
177,0h18min14s,0.44
181,0h19min33s,0.44
316,0h21min8s,0.47
343,0h22min13s,0.46
413,0h23min30s,0.45
464,0h24min48s,0.45
1333,0h25min57s,0.46
2282,0h27min32s,0.47
3732,0h29min58s,0.47
4899,0h32min8s,0.48
5682,0h33min36s,0.49
10267,0h41min38s,0.49
