n_steps,time,mean_reward
5,0h2min2s,0.4
7,0h3min48s,0.4
9,0h5min0s,0.36
14,0h6min52s,0.29
16,0h8min50s,0.28
36,0h11min13s,0.35
58,0h13min31s,0.41
63,0h15min11s,0.42
101,0h16min48s,0.37
121,0h18min16s,0.39
132,0h20min24s,0.39
146,0h21min54s,0.4
151,0h23min20s,0.4
162,0h25min36s,0.41
171,0h27min44s,0.42
204,0h28min44s,0.43
231,0h30min18s,0.45
235,0h31min45s,0.45
268,0h33min21s,0.44
286,0h34min58s,0.45
299,0h36min26s,0.44
328,0h37min53s,0.44
382,0h39min27s,0.45
393,0h40min40s,0.46
452,0h42min7s,0.46
489,0h43min26s,0.48
