Wall time,Step,mean_reward,time
0.0,500,0.4279069900512695,0h0min0s
40.052247762680054,1000,0.5,0h0min40s
62.15126967430115,1500,0.5421052575111389,0h1min2s
82.24167156219482,2000,0.5686046481132507,0h1min22s
100.74108815193176,2500,0.5926315784454346,0h1min40s
113.24578022956848,3000,0.6000000238418579,0h1min53s
133.2307448387146,3500,0.6570000052452087,0h2min13s
151.92394042015076,4000,0.6859999895095825,0h2min31s
178.50465750694275,4500,0.7139999866485596,0h2min58s
201.4025468826294,5000,0.7490000128746033,0h3min21s
221.79047298431396,5500,0.7639999985694885,0h3min41s
233.47194266319275,6000,0.7789999842643738,0h3min53s
253.00392365455627,6500,0.7829999923706055,0h4min13s
266.73304057121277,7000,0.7820000052452087,0h4min26s
280.9465448856354,7500,0.796999990940094,0h4min40s
301.90720319747925,8000,0.8090000152587891,0h5min1s
321.64709067344666,8500,0.8199999928474426,0h5min21s
339.5903069972992,9000,0.8230000138282776,0h5min39s
350.6471436023712,9500,0.8320000171661377,0h5min50s
374.03801012039185,10000,0.8450000286102295,0h6min14s
393.8667964935303,10500,0.8510000109672546,0h6min33s
413.89956426620483,11000,0.8650000095367432,0h6min53s
429.76492953300476,11500,0.8709999918937683,0h7min9s
435.1777265071869,12000,0.8799999952316284,0h7min15s
449.0120372772217,12500,0.8840000033378601,0h7min29s
454.6377635002136,13000,0.8840000033378601,0h7min34s
469.72084498405457,13500,0.8790000081062317,0h7min49s
475.6511654853821,14000,0.8820000290870667,0h7min55s
486.5121693611145,14500,0.875,0h8min6s
510.0662295818329,15000,0.8849999904632568,0h8min30s
527.2962491512299,15500,0.8960000276565552,0h8min47s
549.5502808094025,16000,0.8889999985694885,0h9min9s
568.551765203476,16500,0.8899999856948853,0h9min28s
