n_steps,time,mean_reward
119,0h1min14s,0.45
128,0h2min43s,0.43
144,0h5min9s,0.44
198,0h7min3s,0.46
270,0h8min6s,0.47
458,0h9min8s,0.51
553,0h10min11s,0.52
712,0h11min11s,0.54
1038,0h12min15s,0.58
1193,0h13min19s,0.58
1629,0h14min20s,0.61
2159,0h15min24s,0.63
2454,0h16min26s,0.64
2925,0h17min36s,0.66
3719,0h18min41s,0.69
4574,0h19min44s,0.72
5093,0h20min51s,0.75
5811,0h21min57s,0.76
6620,0h23min2s,0.77
7342,0h24min6s,0.77
7957,0h25min10s,0.78
8893,0h26min10s,0.78
9622,0h27min11s,0.79
10262,0h28min12s,0.79
11044,0h29min14s,0.79
11431,0h31min15s,0.79
12245,0h32min20s,0.8
