Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.62,0h0min0s,240.11387634277344
279.8688998222351,1000,0.8,0h4min39s,600.1362915039062
544.3097326755524,1500,0.88,0h9min4s,760.1458740234375
616.003749370575,2000,0.92,0h10min16s,840.1514892578125
685.2216279506683,2500,0.96,0h11min25s,920.1588134765624
836.5490899085999,3000,0.98,0h13min56s,960.1561889648438
935.0767710208892,3500,0.96,0h15min35s,920.1461791992188
1030.6517174243927,4000,0.98,0h17min10s,960.1359252929688
1098.4119296073914,4500,1.0,0h18min18s,1000.1389770507812
1167.888595342636,5000,0.99,0h19min27s,980.1495361328124
1235.862869501114,5500,1.0,0h20min35s,1000.152587890625
1348.7804384231567,6000,1.0,0h22min28s,1000.1600341796876
1414.9944376945496,6500,0.98,0h23min34s,960.141357421875
1482.8761796951294,7000,1.0,0h24min42s,1000.1497192382812
1550.8812048435211,7500,0.99,0h25min50s,980.1581420898438
1620.148074388504,8000,1.0,0h27min0s,1000.1633911132812
1689.03395652771,8500,1.0,0h28min9s,1000.16455078125
1759.2629702091217,9000,1.0,0h29min19s,1000.1575317382812
1829.6240112781525,9500,0.98,0h30min29s,960.1625366210938
1900.7551505565643,10000,1.0,0h31min40s,1000.1708984375
1973.5221076011655,10500,0.96,0h32min53s,920.1627197265624
2046.850462436676,11000,0.97,0h34min6s,940.166748046875
2119.119821548462,11500,1.0,0h35min19s,1000.1714477539062
2191.171455860138,12000,1.0,0h36min31s,1000.169189453125
2262.458430290222,12500,1.0,0h37min42s,1000.1709594726562
2334.111109733581,13000,1.0,0h38min54s,1000.1692504882812
2404.944049835205,13500,1.0,0h40min4s,1000.1597290039062
2476.091361761093,14000,1.0,0h41min16s,1000.16552734375
2547.808906555176,14500,1.0,0h42min27s,1000.16845703125
2621.325151443481,15000,0.98,0h43min41s,960.1654052734376
