n_steps,time,mean_reward,mean_length
491,0h0min2s,0.34,49.1
880,0h0min4s,0.28,44.0
1388,0h0min11s,0.29,46.27
1740,0h0min18s,0.29,43.5
2068,0h0min25s,0.27,41.36
2583,0h0min36s,0.26,41.57
3049,0h0min47s,0.29,43.33
3379,0h0min54s,0.27,39.71
3776,0h1min3s,0.26,40.57
4387,0h1min16s,0.26,45.9
4825,0h1min25s,0.24,44.22
5344,0h1min35s,0.21,45.61
6054,0h1min50s,0.2,52.71
6544,0h2min0s,0.2,54.63
7064,0h2min12s,0.2,54.45
7554,0h2min23s,0.2,55.47
7917,0h2min31s,0.19,51.14
8551,0h2min45s,0.2,50.76
9235,0h2min59s,0.19,54.25
9988,0h3min15s,0.2,58.06
10444,0h3min26s,0.21,57.16
11104,0h3min40s,0.21,62.94
11616,0h3min50s,0.21,61.41
12151,0h4min2s,0.23,57.63
12727,0h4min13s,0.22,56.69
13200,0h4min24s,0.2,54.88
13830,0h4min38s,0.21,54.61
14355,0h4min49s,0.22,53.96
14965,0h5min1s,0.19,56.2
15711,0h5min16s,0.2,59.57
16474,0h5min32s,0.21,66.16
17098,0h5min46s,0.2,64.78
17637,0h5min58s,0.19,66.45
18048,0h6min6s,0.2,60.94
18829,0h6min22s,0.19,61.67
19424,0h6min34s,0.2,58.9
20204,0h6min52s,0.2,62.86
20597,0h7min1s,0.21,60.0
21138,0h7min13s,0.21,61.31
21930,0h7min29s,0.23,62.76
22744,0h7min47s,0.23,67.06
23627,0h8min6s,0.21,67.92
24249,0h8min19s,0.19,72.55
24675,0h8min28s,0.19,70.33
25165,0h8min39s,0.16,66.92
25746,0h8min52s,0.16,60.73
26244,0h9min4s,0.19,51.84
26764,0h9min16s,0.2,51.27
27156,0h9min25s,0.2,49.12
27856,0h9min40s,0.21,52.86
28621,0h9min57s,0.22,58.98
29244,0h10min12s,0.19,60.69
30014,0h10min26s,0.19,66.57
30914,0h10min44s,0.2,73.88
31673,0h11min2s,0.2,76.8
32299,0h11min16s,0.19,72.33
32885,0h11min28s,0.2,72.33
33410,0h11min39s,0.21,68.55
34032,0h11min53s,0.21,61.65
34654,0h12min6s,0.22,59.55
35081,0h12min17s,0.21,55.41
35652,0h12min30s,0.22,55.27
36373,0h12min46s,0.22,58.47
36837,0h12min58s,0.22,55.45
37517,0h13min13s,0.21,56.55
38147,0h13min25s,0.24,60.75
38646,0h13min36s,0.23,59.2
39532,0h13min55s,0.24,62.69
40207,0h14min10s,0.24,66.92
40759,0h14min23s,0.23,65.53
41368,0h14min37s,0.21,63.63
41971,0h14min51s,0.22,65.49
42476,0h15min2s,0.22,60.12
43104,0h15min15s,0.22,57.78
43851,0h15min31s,0.23,62.59
44703,0h15min46s,0.26,65.65
45154,0h15min57s,0.24,63.24
45674,0h16min8s,0.24,63.06
46241,0h16min21s,0.24,63.47
46762,0h16min32s,0.25,58.02
47201,0h16min42s,0.23,50.94
47759,0h16min55s,0.25,51.65
48276,0h17min6s,0.23,51.27
48886,0h17min20s,0.25,53.82
49516,0h17min35s,0.25,55.96
50069,0h17min47s,0.26,56.98
50642,0h18min1s,0.25,57.2
51148,0h18min12s,0.25,57.33
51721,0h18min24s,0.24,57.43
52467,0h18min42s,0.22,60.53
53347,0h18min59s,0.2,64.51
53877,0h19min12s,0.21,65.39
54606,0h19min30s,0.19,68.16
55113,0h19min42s,0.19,66.71
55701,0h19min55s,0.18,65.37
56200,0h20min7s,0.19,57.9
56979,0h20min25s,0.19,61.2
57556,0h20min39s,0.19,59.8
58204,0h20min53s,0.2,60.96
58741,0h21min6s,0.2,60.31
59572,0h21min26s,0.2,68.08
60245,0h21min41s,0.21,66.0
60925,0h21min57s,0.22,67.96
61528,0h22min10s,0.22,65.33
61951,0h22min20s,0.23,64.9
62670,0h22min35s,0.27,61.98
63434,0h22min50s,0.27,64.49
63968,0h23min4s,0.25,61.18
64535,0h23min17s,0.24,60.92
65359,0h23min34s,0.23,67.67
66170,0h23min54s,0.17,70.59
67053,0h24min15s,0.16,72.92
67908,0h24min36s,0.15,80.78
68640,0h24min55s,0.14,82.45
69305,0h25min10s,0.13,79.33
