n_steps,time,mean_reward,mean_length
518,0h0min2s,0.27,51.8
950,0h0min4s,0.28,47.5
1211,0h0min9s,0.27,40.37
1548,0h0min15s,0.26,38.7
1987,0h0min25s,0.25,39.74
2498,0h0min34s,0.26,39.31
2984,0h0min46s,0.26,40.98
3266,0h0min52s,0.24,41.2
3866,0h1min5s,0.25,46.08
4593,0h1min22s,0.28,53.06
5362,0h1min37s,0.28,56.57
5882,0h1min46s,0.28,57.49
6310,0h1min55s,0.3,60.27
6995,0h2min11s,0.28,61.78
7526,0h2min22s,0.25,59.47
8342,0h2min38s,0.23,60.39
9015,0h2min54s,0.21,61.76
9688,0h3min9s,0.21,67.55
10300,0h3min22s,0.21,66.76
10892,0h3min36s,0.21,66.55
11535,0h3min50s,0.23,64.57
11950,0h3min59s,0.22,59.0
12380,0h4min9s,0.22,54.75
12988,0h4min22s,0.23,54.67
13394,0h4min32s,0.21,51.02
13749,0h4min40s,0.2,43.88
14421,0h4min56s,0.22,48.71
14940,0h5min7s,0.21,50.67
15604,0h5min21s,0.21,52.51
16391,0h5min37s,0.25,59.33
16921,0h5min49s,0.25,62.65
17551,0h6min2s,0.24,61.8
17970,0h6min11s,0.24,59.76
18356,0h6min20s,0.24,55.92
18760,0h6min29s,0.23,47.16
19386,0h6min44s,0.24,49.08
20081,0h6min57s,0.25,50.0
20512,0h7min7s,0.26,50.9
20918,0h7min17s,0.25,50.49
21295,0h7min25s,0.23,50.12
21793,0h7min35s,0.23,49.65
22322,0h7min46s,0.23,46.69
22727,0h7min56s,0.22,45.39
23120,0h8min6s,0.2,43.51
23566,0h8min17s,0.22,44.94
23905,0h8min25s,0.2,41.59
24548,0h8min40s,0.2,44.02
24914,0h8min49s,0.21,43.24
25324,0h8min58s,0.21,44.57
25918,0h9min11s,0.2,46.76
26273,0h9min19s,0.2,46.84
26582,0h9min28s,0.19,41.06
27232,0h9min43s,0.2,46.55
27577,0h9min51s,0.19,45.25
28090,0h10min2s,0.19,43.67
28811,0h10min16s,0.2,51.73
29602,0h10min32s,0.19,59.53
30070,0h10min42s,0.18,56.92
30789,0h10min56s,0.22,63.27
31304,0h11min8s,0.24,63.12
31792,0h11min19s,0.23,60.41
32525,0h11min35s,0.24,59.27
33253,0h11min50s,0.25,62.82
33679,0h12min0s,0.23,58.63
34334,0h12min13s,0.21,60.16
34719,0h12min23s,0.21,59.35
35319,0h12min35s,0.19,56.29
35759,0h12min44s,0.19,51.1
36284,0h12min56s,0.18,53.04
36846,0h13min9s,0.19,50.65
37446,0h13min22s,0.2,53.88
37778,0h13min30s,0.21,49.25
38306,0h13min42s,0.22,50.31
38923,0h13min54s,0.23,52.61
39553,0h14min7s,0.24,54.06
40003,0h14min16s,0.22,50.84
40820,0h14min34s,0.24,60.04
41618,0h14min49s,0.25,66.9
42058,0h14min59s,0.24,63.43
42465,0h15min9s,0.22,57.53
43092,0h15min22s,0.23,60.73
43669,0h15min35s,0.22,56.82
44258,0h15min45s,0.22,53.96
44887,0h16min0s,0.22,56.14
45321,0h16min9s,0.24,58.18
45968,0h16min23s,0.21,58.35
46599,0h16min35s,0.19,59.41
47075,0h16min45s,0.2,56.78
47731,0h16min59s,0.19,55.88
48259,0h17min9s,0.19,58.25
48741,0h17min20s,0.19,56.33
49091,0h17min28s,0.21,49.25
49721,0h17min41s,0.19,52.47
50294,0h17min54s,0.21,52.55
50712,0h18min4s,0.2,50.06
51386,0h18min17s,0.23,53.82
51853,0h18min26s,0.24,54.98
52601,0h18min42s,0.24,56.73
53290,0h18min56s,0.23,59.29
53654,0h19min6s,0.22,57.94
54289,0h19min19s,0.21,58.33
55154,0h19min37s,0.19,65.55
55591,0h19min47s,0.18,60.59
56116,0h19min58s,0.18,55.75
56805,0h20min13s,0.19,62.45
57483,0h20min29s,0.18,62.84
58090,0h20min43s,0.19,58.16
58739,0h20min56s,0.19,62.29
59511,0h21min13s,0.19,66.86
60264,0h21min30s,0.2,68.8
60701,0h21min39s,0.2,63.24
61141,0h21min49s,0.21,61.78
61845,0h22min6s,0.21,61.84
62592,0h22min20s,0.21,62.37
63398,0h22min37s,0.19,61.67
64170,0h22min55s,0.21,68.37
64897,0h23min12s,0.2,73.88
65392,0h23min24s,0.2,70.35
65779,0h23min33s,0.21,62.98
66185,0h23min42s,0.21,55.39
66693,0h23min56s,0.19,50.02
67588,0h24min15s,0.19,54.73
68135,0h24min28s,0.19,54.27
68663,0h24min41s,0.2,57.33
69506,0h24min59s,0.21,67.08
69958,0h25min10s,0.21,65.08
