n_steps,time,mean_reward,mean_length
625,0h0min3s,0.28,62.5
1281,0h0min10s,0.31,64.05
1755,0h0min20s,0.3,58.5
2553,0h0min39s,0.34,63.83
3271,0h0min55s,0.33,65.42
4061,0h1min15s,0.34,69.71
4802,0h1min31s,0.33,71.51
5398,0h1min46s,0.33,72.0
6266,0h2min4s,0.31,74.14
7070,0h2min23s,0.31,76.45
7730,0h2min38s,0.3,73.9
8592,0h2min58s,0.28,77.51
9597,0h3min22s,0.29,84.29
9974,0h3min32s,0.27,74.67
10487,0h3min45s,0.24,68.96
10949,0h3min57s,0.22,65.08
11695,0h4min14s,0.22,62.8
12559,0h4min35s,0.2,58.76
13591,0h4min57s,0.21,71.82
14312,0h5min15s,0.23,76.96
15098,0h5min33s,0.24,83.31
15942,0h5min54s,0.27,83.86
16776,0h6min14s,0.27,83.31
17309,0h6min28s,0.28,75.78
18257,0h6min49s,0.26,77.73
18905,0h7min4s,0.27,75.27
19633,0h7min21s,0.27,73.76
20456,0h7min40s,0.27,74.53
21077,0h7min56s,0.27,77.53
21664,0h8min11s,0.26,68.76
22471,0h8min31s,0.24,70.45
23116,0h8min47s,0.23,70.25
23961,0h9min5s,0.23,69.14
24704,0h9min22s,0.23,73.08
25342,0h9min36s,0.23,74.08
26072,0h9min54s,0.23,71.25
27124,0h10min18s,0.24,78.94
28000,0h10min40s,0.25,80.88
28975,0h11min2s,0.26,85.71
29980,0h11min25s,0.27,91.51
30728,0h11min44s,0.28,93.71
31386,0h11min59s,0.28,85.12
32285,0h12min21s,0.26,84.67
33347,0h12min44s,0.26,88.12
33883,0h12min58s,0.24,78.49
34725,0h13min16s,0.24,78.63
35604,0h13min37s,0.26,84.29
36256,0h13min52s,0.26,78.65
36789,0h14min6s,0.24,69.45
37489,0h14min22s,0.24,72.67
38593,0h14min49s,0.27,77.08
39542,0h15min12s,0.27,79.18
40232,0h15min28s,0.28,78.51
40876,0h15min44s,0.28,80.53
41796,0h16min4s,0.32,86.41
42444,0h16min21s,0.32,77.47
43129,0h16min38s,0.31,71.04
43794,0h16min53s,0.3,70.55
44420,0h17min9s,0.32,69.98
45238,0h17min28s,0.31,69.45
45923,0h17min44s,0.28,70.18
46332,0h17min56s,0.26,63.39
47276,0h18min19s,0.26,69.18
47957,0h18min35s,0.25,70.22
48592,0h18min52s,0.23,67.73
49140,0h19min5s,0.24,63.9
49802,0h19min21s,0.24,68.35
50607,0h19min39s,0.24,67.27
51357,0h19min59s,0.25,67.39
52214,0h20min20s,0.27,73.57
53144,0h20min42s,0.26,78.94
53979,0h21min3s,0.27,83.86
54754,0h21min22s,0.28,84.18
55690,0h21min46s,0.26,85.25
56340,0h22min2s,0.26,82.86
57363,0h22min25s,0.27,84.69
58109,0h22min43s,0.28,83.75
58779,0h23min1s,0.28,79.76
59619,0h23min21s,0.29,79.0
60222,0h23min36s,0.27,77.0
60881,0h23min51s,0.24,69.88
61869,0h24min17s,0.24,75.33
62737,0h24min40s,0.23,79.57
63290,0h24min53s,0.2,72.76
63981,0h25min9s,0.19,74.02
64870,0h25min32s,0.21,80.18
65847,0h25min57s,0.22,79.41
66522,0h26min16s,0.21,76.18
67379,0h26min38s,0.23,80.65
67746,0h26min50s,0.24,75.78
68520,0h27min10s,0.25,73.53
69432,0h27min33s,0.25,70.73
70306,0h27min56s,0.26,74.82
70904,0h28min13s,0.25,71.08
71587,0h28min33s,0.26,75.78
72575,0h28min57s,0.26,80.0
73433,0h29min20s,0.26,78.76
74406,0h29min49s,0.26,82.35
75028,0h30min7s,0.27,82.82
75833,0h30min28s,0.28,85.67
77017,0h30min58s,0.28,89.06
77515,0h31min13s,0.26,82.49
78379,0h31min37s,0.26,79.86
78860,0h31min51s,0.26,76.12
79529,0h32min9s,0.25,73.2
80385,0h32min30s,0.25,68.86
81305,0h32min52s,0.25,74.8
81883,0h33min9s,0.25,71.57
82567,0h33min28s,0.26,73.41
83231,0h33min47s,0.25,73.1
83882,0h34min5s,0.25,71.65
84564,0h34min23s,0.25,67.67
85046,0h34min37s,0.24,62.53
85582,0h34min53s,0.23,60.0
86231,0h35min10s,0.25,60.78
86898,0h35min30s,0.25,59.51
87535,0h35min47s,0.24,60.22
88409,0h36min12s,0.24,66.86
89189,0h36min32s,0.25,71.76
89660,0h36min45s,0.22,69.2
90668,0h37min11s,0.22,74.47
91437,0h37min32s,0.25,77.08
92147,0h37min50s,0.24,76.18
92826,0h38min4s,0.21,72.67
93687,0h38min26s,0.2,80.92
94469,0h38min47s,0.18,76.49
95393,0h39min8s,0.17,78.25
96114,0h39min27s,0.17,79.27
97012,0h39min53s,0.16,84.65
97823,0h40min15s,0.17,81.76
98620,0h40min34s,0.18,83.35
99591,0h41min0s,0.18,83.65
100472,0h41min20s,0.19,85.94
101253,0h41min40s,0.19,85.12
102031,0h41min59s,0.18,85.96
103144,0h42min30s,0.19,89.57
104100,0h42min52s,0.19,90.37
104810,0h43min8s,0.18,87.02
105612,0h43min31s,0.19,87.43
106499,0h43min54s,0.2,89.57
107526,0h44min21s,0.21,87.1
108557,0h44min46s,0.19,90.24
109455,0h45min7s,0.19,92.24
110231,0h45min29s,0.19,90.94
111154,0h45min52s,0.2,93.24
111931,0h46min13s,0.17,87.27
