n_steps,time,mean_reward,mean_length
675,0h0min3s,0.36,67.5
1443,0h0min13s,0.39,72.15
2117,0h0min28s,0.37,70.57
2654,0h0min40s,0.37,66.35
3188,0h0min52s,0.36,63.76
3619,0h1min3s,0.33,58.37
4344,0h1min19s,0.32,57.35
5060,0h1min36s,0.3,57.88
5692,0h1min50s,0.29,61.53
6417,0h2min6s,0.27,66.04
7203,0h2min23s,0.27,70.84
8165,0h2min43s,0.26,76.88
8874,0h3min0s,0.25,75.94
9780,0h3min20s,0.26,80.75
10808,0h3min43s,0.29,88.06
11514,0h3min59s,0.29,86.49
12379,0h4min19s,0.28,84.59
13268,0h4min39s,0.26,86.92
13844,0h4min53s,0.23,81.65
14410,0h5min7s,0.21,72.59
15053,0h5min22s,0.18,70.25
15736,0h5min39s,0.16,66.39
16466,0h5min56s,0.2,64.67
17331,0h6min17s,0.21,69.12
18014,0h6min33s,0.22,72.9
18834,0h6min52s,0.24,76.1
19477,0h7min9s,0.25,73.45
19919,0h7min20s,0.21,68.25
20721,0h7min39s,0.24,66.96
21614,0h7min58s,0.25,71.63
22350,0h8min15s,0.22,70.04
23197,0h8min36s,0.22,73.78
24050,0h8min56s,0.22,81.61
24515,0h9min7s,0.17,75.49
25499,0h9min29s,0.18,77.69
26332,0h9min49s,0.19,81.61
27093,0h10min7s,0.19,78.35
27931,0h10min25s,0.2,78.06
28721,0h10min45s,0.22,84.43
29644,0h11min5s,0.22,83.24
30283,0h11min20s,0.21,79.43
31039,0h11min38s,0.22,79.33
31831,0h11min56s,0.24,76.8
32901,0h12min21s,0.27,82.92
33974,0h12min45s,0.27,87.35
34701,0h13min1s,0.3,86.86
35323,0h13min17s,0.29,84.67
35925,0h13min32s,0.27,82.24
36859,0h13min51s,0.25,80.35
37487,0h14min7s,0.24,71.12
38454,0h14min27s,0.21,73.73
39267,0h14min46s,0.21,77.96
39837,0h14min58s,0.22,78.67
40737,0h15min18s,0.23,78.0
41647,0h15min40s,0.24,82.1
42355,0h15min56s,0.25,78.45
43125,0h16min15s,0.26,78.61
44030,0h16min35s,0.29,84.18
44799,0h16min53s,0.27,81.9
45582,0h17min12s,0.26,80.1
46368,0h17min31s,0.27,82.27
47199,0h17min51s,0.26,80.96
47868,0h18min8s,0.22,76.67
48620,0h18min27s,0.23,77.47
49508,0h18min48s,0.24,77.69
50201,0h19min5s,0.25,75.84
51119,0h19min26s,0.26,78.82
51909,0h19min46s,0.29,81.2
52416,0h19min59s,0.27,74.8
53124,0h20min15s,0.25,72.86
53675,0h20min29s,0.24,70.08
54729,0h20min55s,0.24,72.75
55538,0h21min14s,0.24,74.94
56168,0h21min30s,0.23,75.53
56929,0h21min48s,0.22,75.02
57802,0h22min7s,0.22,82.88
58479,0h22min24s,0.22,75.49
59402,0h22min46s,0.19,76.47
60233,0h23min4s,0.2,81.67
61064,0h23min23s,0.2,81.33
61832,0h23min42s,0.19,80.98
62629,0h24min3s,0.19,81.69
63375,0h24min22s,0.2,78.55
64088,0h24min40s,0.19,75.69
64855,0h24min58s,0.16,76.29
65958,0h25min24s,0.17,81.02
66885,0h25min46s,0.15,84.22
67942,0h26min12s,0.15,90.51
68850,0h26min35s,0.16,94.45
69730,0h27min1s,0.2,97.41
70400,0h27min20s,0.2,89.06
71261,0h27min44s,0.19,86.39
71880,0h28min0s,0.17,79.18
72526,0h28min20s,0.18,73.49
73042,0h28min35s,0.17,68.59
73765,0h28min57s,0.17,66.8
74612,0h29min22s,0.19,67.67
75306,0h29min43s,0.22,68.43
76271,0h30min9s,0.24,74.82
77161,0h30min34s,0.25,81.82
77985,0h30min58s,0.26,83.47
79114,0h31min28s,0.26,89.1
79907,0h31min50s,0.24,92.63
80901,0h32min18s,0.21,91.35
81581,0h32min35s,0.19,87.1
82368,0h32min58s,0.18,86.78
83391,0h33min26s,0.16,85.82
84144,0h33min47s,0.17,84.0
85006,0h34min9s,0.16,84.12
85871,0h34min32s,0.15,84.86
86650,0h34min52s,0.14,85.92
87521,0h35min12s,0.13,81.9
88306,0h35min35s,0.13,82.45
89124,0h35min59s,0.13,81.43
89797,0h36min20s,0.15,78.94
90763,0h36min46s,0.18,82.61
91556,0h37min8s,0.18,79.43
92280,0h37min27s,0.18,79.88
93167,0h37min50s,0.21,80.12
94153,0h38min19s,0.22,87.0
94690,0h38min36s,0.22,78.96
95425,0h38min57s,0.23,78.16
96213,0h39min18s,0.22,79.08
97180,0h39min40s,0.19,80.65
98045,0h40min3s,0.19,77.49
98829,0h40min26s,0.16,81.76
99516,0h40min42s,0.17,81.49
100184,0h41min2s,0.17,79.82
100787,0h41min18s,0.18,72.69
101547,0h41min39s,0.2,71.98
102261,0h42min1s,0.2,68.39
103052,0h42min19s,0.2,69.75
104017,0h42min43s,0.21,75.71
104584,0h43min0s,0.22,76.41
105360,0h43min23s,0.23,77.02
106077,0h43min43s,0.23,76.78
106926,0h44min5s,0.22,77.25
107871,0h44min33s,0.22,76.86
108707,0h44min52s,0.22,81.67
109503,0h45min15s,0.2,82.96
110180,0h45min35s,0.19,82.41
111132,0h45min59s,0.19,82.92
112057,0h46min22s,0.18,82.2
