Wall time,Step,Value
1736354730.4134908,500,-176.96359252929688
1736355307.1482172,1000,-37.51413345336914
1736355487.1295586,1500,-7.121036052703857
1736355553.4621406,2000,3.4750561714172363
1736355564.6532261,2500,3.877953290939331
1736355567.0786934,3000,4.061135768890381
1736355591.354392,3500,4.251627445220947
1736355602.1539178,4000,4.633235931396484
1736355608.7250788,4500,4.999574661254883
1736355610.8700206,5000,5.076041221618652
1736355613.1552646,5500,5.173133373260498
1736355615.759574,6000,5.246621608734131
1736355617.7717214,6500,5.349390029907227
1736355619.9705935,7000,5.426183700561523
1736355622.3413618,7500,5.4466552734375
1736355624.6911423,8000,5.446955680847168
1736355627.4393427,8500,5.509629726409912
1736355629.685299,9000,5.5120368003845215
1736355631.9511843,9500,5.548224449157715
1736355634.2611494,10000,5.598748683929443
1736355636.3514037,10500,5.506852626800537
1736355638.6428502,11000,5.521065711975098
1736355640.877866,11500,5.643644332885742
1736355643.2970567,12000,5.694301605224609
1736355645.4473603,12500,5.664766788482666
1736355647.808907,13000,5.638345241546631
1736355650.1899498,13500,5.695112228393555
1736355652.1955585,14000,5.674222946166992
1736355654.434844,14500,5.634507656097412
1736355657.0054085,15000,5.642914772033691
