n_steps,time,mean_reward
3000,0h1min4s,0.38
3273,0h2min15s,0.3
6376,0h3min52s,0.29
9377,0h4min56s,0.29
12378,0h6min0s,0.29
15424,0h7min3s,0.29
18461,0h8min5s,0.29
24463,0h9min54s,0.31
27605,0h11min49s,0.33
30783,0h16min48s,0.34
33856,0h17min49s,0.35
36903,0h18min50s,0.35
39974,0h19min54s,0.35
43006,0h20min57s,0.35
46054,0h22min5s,0.35
49055,0h23min8s,0.34
52097,0h26min45s,0.34
55098,0h28min22s,0.35
58158,0h29min37s,0.35
61357,0h31min44s,0.33
64400,0h32min46s,0.34
70402,0h34min28s,0.34
73586,0h35min35s,0.34
76626,0h36min46s,0.33
79627,0h37min46s,0.34
83862,0h39min35s,0.34
86863,0h41min6s,0.34
87066,0h42min14s,0.33
90067,0h43min18s,0.34
93534,0h44min52s,0.34
99536,0h46min40s,0.34
102603,0h47min51s,0.34
105604,0h48min54s,0.34
108605,0h49min57s,0.34
111606,0h51min12s,0.34
114607,0h52min14s,0.34
117608,0h53min21s,0.34
120609,0h55min6s,0.34
123610,0h58min1s,0.34
126611,1h0min53s,0.34
129612,1h2min56s,0.34
135614,1h4min38s,0.34
139899,1h6min20s,0.35
140841,1h7min23s,0.35
143966,1h8min27s,0.35
147011,1h9min32s,0.35
147238,1h10min43s,0.35
150408,1h12min33s,0.35
156410,1h14min21s,0.35
159516,1h15min31s,0.36
