Wall time,Step,Value
1736409964.62261,500,-277.99322509765625
1736410922.0541654,1000,-98.22808837890625
1736411725.4321868,1500,-18.024532318115234
1736412266.7574348,2000,-57.90473175048828
1736412684.180223,2500,-67.67826080322266
1736413011.7818022,3000,-57.44182586669922
1736413186.2250226,3500,-57.26150894165039
1736413358.0333428,4000,-47.071563720703125
1736413424.0438435,4500,-57.019893646240234
1736413459.490395,5000,-66.93558502197266
1736413516.835995,5500,-86.87279510498047
1736413526.117694,6000,-96.86532592773438
1736413544.1020908,6500,-96.73688507080078
1736413562.0904682,7000,-46.67219543457031
1736413567.062355,7500,-36.67487716674805
1736413572.007104,8000,-36.63730239868164
1736413581.1128843,8500,-26.639272689819336
1736413585.865193,9000,-26.636470794677734
1736413590.5741515,9500,-16.5893497467041
1736413599.8329926,10000,-6.587031364440918
1736413604.8079226,10500,-6.580053329467773
1736413609.777933,11000,-6.5691914558410645
1736413614.7297742,11500,-26.63337516784668
1736413619.6737974,12000,-26.625717163085938
1736413624.5533688,12500,-6.56358528137207
1736413629.4485083,13000,-36.58026885986328
1736413660.238482,13500,-46.62005615234375
1736413665.2294862,14000,-16.586454391479492
1736413670.2135873,14500,-6.531032085418701
1736413675.1598182,15000,-6.5168352127075195
1736413680.0773563,15500,-16.551212310791016
1736413684.9762843,16000,-16.548728942871094
1736413689.8130968,16500,-16.55240249633789
1736413694.7986734,17000,-6.564454555511475
1736413699.7334793,17500,-6.5357537269592285
1736413704.618333,18000,-6.501157760620117
1736413709.5193021,18500,3.513716697692871
1736413714.278611,19000,3.5
1736413719.2269895,19500,3.5051934719085693
1736413724.1650789,20000,3.5210742950439453
