Wall time,Step,Value
1736395775.62046,500,-237.2731475830078
1736396413.1889598,1000,-58.099449157714844
1736396985.1669998,1500,-37.96851348876953
1736397495.3549764,2000,-57.993221282958984
1736397827.7209923,2500,-77.90645599365234
1736397924.4329824,3000,-157.8854522705078
1736398048.3403971,3500,-197.66262817382812
1736398123.9137213,4000,-217.54638671875
1736398201.6101635,4500,-187.3670654296875
1736398224.7522404,5000,-147.2640838623047
1736398265.2747402,5500,-107.15918731689453
1736398306.454035,6000,-87.13026428222656
1736398316.9818347,6500,-87.17007446289062
1736398326.8461988,7000,-107.2213363647461
1736398336.736711,7500,-97.12818908691406
1736398387.384973,8000,-66.91744232177734
1736398411.0116754,8500,-26.748451232910156
1736398417.8038304,9000,-26.778337478637695
1736398429.5868497,9500,-96.83940124511719
1736398444.460477,10000,-126.8492660522461
1736398450.2180028,10500,-116.81646728515625
1736398456.0293963,11000,-76.73112487792969
1736398464.157399,11500,-36.59151840209961
1736398472.022102,12000,-36.605648040771484
1736398482.6028855,12500,-46.67661666870117
1736398489.6276274,13000,-56.68997573852539
1736398495.0678535,13500,-26.600807189941406
1736398503.001434,14000,-6.544468879699707
1736398509.6504138,14500,-26.5932674407959
1736398516.593022,15000,-16.552907943725586
1736398522.3640034,15500,3.500877618789673
1736398528.0151079,16000,-16.548824310302734
1736398533.4326787,16500,-26.588138580322266
1736398538.8590899,17000,-26.55128288269043
1736398544.7864492,17500,-26.531723022460938
1736398550.2703872,18000,-36.57204055786133
1736398556.9309616,18500,-26.552595138549805
1736398565.615021,19000,-6.523368835449219
1736398572.5886364,19500,-6.515788555145264
1736398579.0744736,20000,3.5118014812469482
