Wall time,Step,Value
1736338786.4213943,500,-45.10380172729492
1736339140.6373878,1000,-17.868709564208984
1736339281.0993335,1500,-7.4574995040893555
1736339427.602964,2000,2.851994276046753
1736339454.099771,2500,2.9687345027923584
1736339506.8683326,3000,3.0508179664611816
1736339581.7378304,3500,3.124959707260132
1736339652.787458,4000,3.1202473640441895
1736339710.0006511,4500,3.155099630355835
1736339771.9874594,5000,3.159047842025757
1736339826.4022315,5500,3.188884735107422
1736339831.0100944,6000,3.317746162414551
1736339835.148776,6500,3.3336100578308105
1736339841.1349363,7000,3.2743563652038574
1736339845.039372,7500,3.266808032989502
1736339850.6075182,8000,3.3251802921295166
1736339854.1135893,8500,3.397334098815918
1736339858.4173498,9000,3.4124796390533447
1736339862.6391637,9500,3.412233352661133
1736339866.1784115,10000,3.378405809402466
