Wall time,Step,Value
1736333334.5208774,500,-94.25045776367188
1736333487.7740295,1000,1.8785829544067383
1736333542.8629525,1500,1.9945217370986938
1736333549.5865104,2000,2.1232638359069824
1736333556.0426579,2500,2.1416306495666504
1736333558.4132035,3000,2.1580724716186523
1736333560.7736208,3500,2.17781925201416
1736333564.0911598,4000,2.201313018798828
1736333566.4686399,4500,2.275912284851074
1736333568.8420064,5000,2.307077646255493
1736333571.2858021,5500,2.323920726776123
1736333573.4929411,6000,2.337458610534668
1736333575.8382626,6500,2.3338751792907715
1736333578.1944985,7000,2.3372437953948975
1736333580.6161323,7500,2.3536789417266846
1736333582.9749146,8000,2.3551197052001953
1736333587.1710088,8500,2.3400981426239014
1736333589.516787,9000,2.3614532947540283
1736333591.8952549,9500,2.3929193019866943
1736333594.2395658,10000,2.4087345600128174
