Wall time,Step,Value
1736338612.4481049,500,-59.684146881103516
1736338903.2624903,1000,-27.97614097595215
1736339122.8487387,1500,-27.781583786010742
1736339240.2218757,2000,-7.579599857330322
1736339323.1694365,2500,2.595390558242798
1736339423.834508,3000,-7.285757064819336
1736339436.6822426,3500,2.818978786468506
1736339449.089027,4000,2.9355151653289795
1736339468.3286655,4500,2.989783525466919
1736339489.5512493,5000,3.0645217895507812
1736339504.1448264,5500,3.0985031127929688
1736339517.3802376,6000,3.072977066040039
1736339539.2563312,6500,3.1726324558258057
1736339604.3997016,7000,3.250340223312378
1736339609.311523,7500,3.220792770385742
1736339659.8789022,8000,3.176048755645752
1736339719.828257,8500,3.168787717819214
1736339764.807262,9000,3.186091184616089
1736339768.9973507,9500,3.2404937744140625
1736339825.6783211,10000,3.2380449771881104
