n_steps,time,mean_reward
3,0h1min38s,0.0
7,0h2min48s,0.17
13,0h4min26s,0.35
17,0h5min38s,0.39
25,0h7min24s,0.52
57,0h8min37s,0.48
65,0h9min47s,0.48
73,0h11min16s,0.48
119,0h12min25s,0.51
172,0h13min26s,0.52
193,0h14min28s,0.52
205,0h15min50s,0.51
246,0h17min15s,0.51
310,0h18min35s,0.54
524,0h19min36s,0.57
869,0h20min36s,0.73
1630,0h21min37s,0.95
2390,0h22min37s,0.98
3095,0h23min37s,1.0
3792,0h24min37s,1.0
4510,0h25min37s,1.0
5249,0h26min37s,1.0
5980,0h27min37s,1.0
6744,0h28min37s,1.0
