n_steps,time,mean_reward
4,0h1min10s,0.38
6,0h2min15s,0.33
12,0h3min30s,0.54
14,0h4min39s,0.5
18,0h5min44s,0.47
26,0h6min47s,0.48
32,0h8min20s,0.43
37,0h9min41s,0.44
43,0h10min45s,0.43
65,0h11min49s,0.42
89,0h13min38s,0.45
131,0h14min40s,0.46
740,0h15min40s,0.87
1269,0h16min44s,0.98
2407,0h17min44s,0.99
3538,0h18min44s,0.99
4655,0h19min44s,1.0
5753,0h20min44s,1.0
6786,0h21min44s,1.0
7534,0h22min45s,1.0
8122,0h23min45s,1.0
8694,0h24min45s,1.0
9272,0h25min45s,1.0
9836,0h26min45s,1.0
10412,0h27min45s,1.0
10998,0h28min45s,1.0
