n_steps,time,mean_reward
6,0h1min35s,0.38
8,0h2min59s,0.5
16,0h4min11s,0.62
28,0h5min16s,0.67
32,0h6min26s,0.61
34,0h7min33s,0.58
53,0h9min5s,0.52
81,0h10min6s,0.44
674,0h11min7s,0.59
2618,0h12min7s,0.94
2932,0h13min7s,0.92
4561,0h14min7s,0.98
5919,0h15min7s,0.99
7231,0h16min7s,1.0
8598,0h17min7s,1.0
9950,0h18min7s,0.99
11282,0h19min7s,1.0
12599,0h20min7s,1.0
13967,0h21min7s,1.0
15295,0h22min7s,1.0
16607,0h23min7s,1.0
17923,0h24min7s,1.0
19211,0h25min7s,1.0
20549,0h26min7s,1.0
21877,0h27min8s,1.0
23217,0h28min8s,1.0
