Wall time,Step,mean_reward,time,mean_reward1
0.0,500,0.18,0h0min0s,-639.9608154296875
728.0868039131165,1000,0.35,0h12min8s,-299.9295349121094
1106.7527468204498,1500,0.47,0h18min26s,-59.93596649169922
1382.4571182727814,2000,0.54,0h23min2s,80.0751724243164
1534.575609445572,2500,0.56,0h25min34s,120.08683776855467
1681.3290708065033,3000,0.75,0h28min1s,500.0926208496094
1808.272066116333,3500,0.83,0h30min8s,660.0971069335938
1935.1940381526947,4000,0.9,0h32min15s,800.0927124023438
2061.303373336792,4500,0.92,0h34min21s,840.1023559570312
2188.396590471268,5000,0.91,0h36min28s,820.0974731445312
2317.4042994976044,5500,0.9,0h38min37s,800.0848999023438
2444.516197681427,6000,0.96,0h40min44s,920.090576171875
2571.4163422584534,6500,0.92,0h42min51s,840.0982055664062
2698.2106232643127,7000,0.96,0h44min58s,920.08642578125
2825.095696926117,7500,0.98,0h47min5s,960.09375
2951.153584718704,8000,0.96,0h49min11s,920.1005249023438
3076.8274614810944,8500,0.95,0h51min16s,900.1063232421875
3202.6126565933228,9000,0.97,0h53min22s,940.1030883789062
3328.218564271927,9500,0.93,0h55min28s,860.1116333007812
3455.501736402512,10000,0.99,0h57min35s,980.1010131835938
3580.9648308753967,10500,0.95,0h59min40s,900.0917358398438
3704.875814437866,11000,0.99,1h1min44s,980.0982666015624
3830.382035732269,11500,0.98,1h3min50s,960.0921630859376
3955.967660188675,12000,0.96,1h5min55s,920.093994140625
4081.550602912903,12500,0.98,1h8min1s,960.0897827148438
4205.282513618469,13000,0.96,1h10min5s,920.090576171875
4330.436389923096,13500,0.98,1h12min10s,960.0880126953124
4455.934617996216,14000,0.99,1h14min15s,980.088134765625
4580.968338251114,14500,0.99,1h16min20s,980.0927734375
4705.834830284119,15000,1.0,1h18min25s,1000.0889282226562
4830.904960393906,15500,0.99,1h20min30s,980.0962524414062
4955.645653009415,16000,1.0,1h22min35s,1000.0936279296876
5081.815282583237,16500,0.99,1h24min41s,980.0881958007812
5208.578629493713,17000,1.0,1h26min48s,1000.0889282226562
5335.209541320801,17500,0.99,1h28min55s,980.0880737304688
5462.196952819824,18000,0.99,1h31min2s,980.088134765625
5589.82782459259,18500,1.0,1h33min9s,1000.0889282226562
5716.575033187866,19000,1.0,1h35min16s,1000.0889282226562
5843.522688150406,19500,0.99,1h37min23s,980.091552734375
5969.4013838768005,20000,0.99,1h39min29s,980.0880737304688
