n_steps,time,mean_reward
22,0h1min53s,0.44
72,0h5min3s,0.3
115,0h7min52s,0.27
227,0h9min13s,0.32
243,0h11min26s,0.34
359,0h12min50s,0.36
444,0h13min58s,0.36
534,0h15min2s,0.37
706,0h16min5s,0.4
953,0h17min7s,0.43
1016,0h18min13s,0.43
1017,0h20min46s,0.43
1435,0h21min49s,0.44
1694,0h22min54s,0.45
2036,0h23min57s,0.49
2584,0h25min0s,0.53
2866,0h26min12s,0.57
3413,0h27min14s,0.58
3813,0h28min19s,0.6
4711,0h29min28s,0.64
5422,0h30min31s,0.66
6230,0h31min36s,0.67
6914,0h32min43s,0.7
7678,0h33min46s,0.72
8285,0h34min51s,0.75
9015,0h35min56s,0.76
9753,0h37min0s,0.78
10457,0h38min5s,0.79
11306,0h39min8s,0.8
12220,0h40min14s,0.81
13261,0h41min15s,0.8
13861,0h42min19s,0.8
14621,0h43min26s,0.8
15054,0h44min37s,0.8
15623,0h45min39s,0.8
16172,0h46min42s,0.81
16899,0h47min44s,0.81
17524,0h48min49s,0.81
18098,0h49min50s,0.82
18610,0h50min50s,0.83
19091,0h51min54s,0.83
19703,0h52min58s,0.84
19862,0h54min0s,0.85
