n_steps,time,mean_reward
23,0h3min28s,0.29
38,0h6min19s,0.24
46,0h9min8s,0.24
51,0h11min42s,0.22
70,0h14min26s,0.2
77,0h15min36s,0.21
173,0h16min41s,0.24
383,0h17min45s,0.28
460,0h20min35s,0.29
588,0h22min54s,0.31
719,0h23min55s,0.32
827,0h26min4s,0.33
868,0h28min46s,0.33
1070,0h31min45s,0.34
1407,0h33min46s,0.35
1534,0h36min32s,0.36
1831,0h37min37s,0.39
2568,0h38min41s,0.42
3153,0h39min45s,0.44
3679,0h40min46s,0.47
4606,0h41min51s,0.48
5352,0h42min57s,0.51
5829,0h44min9s,0.52
6680,0h45min9s,0.53
7585,0h46min11s,0.56
9110,0h47min15s,0.59
10890,0h48min21s,0.6
11287,0h49min28s,0.61
12033,0h50min32s,0.62
