n_steps,time,mean_reward
3125,0h3min14s,0.24
3307,0h4min23s,0.2
3503,0h5min24s,0.23
3676,0h6min29s,0.21
3849,0h7min30s,0.2
4027,0h8min31s,0.2
4228,0h9min35s,0.19
7467,0h12min45s,0.2
7659,0h13min46s,0.2
10700,0h16min0s,0.2
13763,0h17min17s,0.21
14035,0h18min21s,0.21
14272,0h19min28s,0.21
17341,0h21min49s,0.21
20493,0h23min7s,0.22
23631,0h24min29s,0.23
24011,0h25min35s,0.23
27012,0h26min43s,0.24
27556,0h27min56s,0.24
30588,0h30min21s,0.24
31004,0h31min27s,0.25
34028,0h32min49s,0.25
37166,0h35min26s,0.25
40461,0h37min53s,0.26
40669,0h39min0s,0.26
43700,0h41min13s,0.26
46701,0h42min46s,0.26
47528,0h43min48s,0.27
47940,0h44min56s,0.27
48377,0h45min58s,0.28
51378,0h47min30s,0.28
54445,0h48min37s,0.28
55048,0h49min44s,0.29
61050,0h52min42s,0.29
64244,0h54min40s,0.3
67472,0h56min26s,0.31
