n_steps,time,mean_reward
168,0h1min13s,0.12
3195,0h5min4s,0.18
3397,0h6min16s,0.19
3581,0h7min21s,0.19
3762,0h8min21s,0.19
3933,0h9min28s,0.18
7006,0h13min10s,0.19
7321,0h14min26s,0.2
7546,0h15min37s,0.21
10623,0h18min58s,0.22
10881,0h20min8s,0.23
14007,0h23min0s,0.23
17135,0h26min50s,0.23
17365,0h28min4s,0.24
20500,0h30min52s,0.24
20837,0h32min6s,0.24
21051,0h33min12s,0.25
24229,0h36min26s,0.25
24419,0h37min34s,0.24
27445,0h40min33s,0.24
27714,0h41min33s,0.25
30715,0h44min30s,0.25
33916,0h47min55s,0.25
34463,0h48min58s,0.25
37513,0h51min18s,0.25
40514,0h53min45s,0.25
43515,0h55min53s,0.25
