n_steps,time,mean_reward
68,0h3min17s,0.43
111,0h4min18s,0.44
151,0h5min54s,0.45
264,0h6min57s,0.46
316,0h9min51s,0.45
449,0h10min57s,0.47
609,0h11min59s,0.47
726,0h13min8s,0.47
883,0h14min14s,0.49
1044,0h15min23s,0.5
1190,0h16min35s,0.51
1327,0h17min37s,0.52
1454,0h18min40s,0.52
1638,0h19min45s,0.54
1781,0h20min48s,0.56
1941,0h22min24s,0.58
2119,0h23min37s,0.59
2218,0h24min47s,0.59
2419,0h25min55s,0.62
2487,0h28min53s,0.62
2689,0h30min0s,0.64
2917,0h31min19s,0.64
3186,0h33min29s,0.66
3649,0h34min38s,0.68
3929,0h35min45s,0.69
