Wall time,Step,mean_reward,time
0.0,500,0.4383116960525512,0h0min0s
443.8843038082123,1000,0.4716007113456726,0h7min23s
519.0899975299835,1500,0.4828571677207947,0h8min39s
572.4511089324951,2000,0.5192857384681702,0h9min32s
613.1439435482025,2500,0.5507142543792725,0h10min13s
643.0286808013916,3000,0.566428542137146,0h10min43s
701.1769020557404,3500,0.5849999785423279,0h11min41s
775.4568588733673,4000,0.6242856979370117,0h12min55s
814.1519148349762,4500,0.6449999809265137,0h13min34s
835.4495906829834,5000,0.655714213848114,0h13min55s
865.5923652648926,5500,0.6735713481903076,0h14min25s
885.0748355388641,6000,0.6807141900062561,0h14min45s
927.8222839832306,6500,0.6985713243484497,0h15min27s
970.9734392166138,7000,0.7385713458061218,0h16min10s
990.8077173233032,7500,0.742857038974762,0h16min30s
1021.1376123428345,8000,0.7507141828536987,0h17min1s
1042.949317932129,8500,0.7635713219642639,0h17min22s
1061.6817636489868,9000,0.772142767906189,0h17min41s
1065.1308641433716,9500,0.772142767906189,0h17min45s
1096.4347808361053,10000,0.7785713076591492,0h18min16s
1152.440043926239,10500,0.7785713076591492,0h19min12s
1188.7454359531403,11000,0.7757142186164856,0h19min48s
1216.4402668476105,11500,0.7778570652008057,0h20min16s
1243.9924292564392,12000,0.7728570103645325,0h20min43s
1262.940625667572,12500,0.7764284610748291,0h21min2s
1290.8513400554657,13000,0.7828570008277893,0h21min30s
1333.6743535995483,13500,0.7942855954170227,0h22min13s
1368.4129734039307,14000,0.8007141947746277,0h22min48s
1415.884473323822,14500,0.8057141900062561,0h23min35s
