n_steps,time,mean_reward
123,0h3min28s,0.43
305,0h4min31s,0.39
336,0h6min35s,0.38
563,0h7min37s,0.42
858,0h8min49s,0.45
1480,0h9min54s,0.5
1924,0h10min56s,0.52
2644,0h11min58s,0.54
3009,0h13min8s,0.55
3787,0h14min13s,0.59
4060,0h15min14s,0.6
5270,0h16min21s,0.65
6862,0h17min24s,0.7
7185,0h19min41s,0.71
7878,0h20min45s,0.75
8777,0h21min49s,0.77
9549,0h22min53s,0.77
10301,0h23min54s,0.79
11378,0h24min57s,0.81
12178,0h26min0s,0.81
14406,0h27min0s,0.81
15342,0h28min7s,0.8
16003,0h29min7s,0.81
18363,0h30min8s,0.81
19884,0h31min14s,0.82
20932,0h32min16s,0.83
22208,0h33min19s,0.83
22735,0h34min20s,0.82
23453,0h35min20s,0.83
