Wall time,Step,Value
1736329677.92123,500,-208.72784423828125
1736329883.944793,1000,-18.323022842407227
1736329983.822343,1500,-8.180392265319824
1736330062.2710788,2000,-8.11289119720459
1736330105.1688828,2500,1.9820685386657715
1736330126.2019796,3000,2.067680597305298
1736330130.3108234,3500,2.062901020050049
1736330138.0904143,4000,2.071223735809326
1736330143.6106505,4500,2.0786187648773193
1736330149.2964282,5000,2.094578504562378
1736330153.4639745,5500,2.1059072017669678
1736330157.3630257,6000,2.103259801864624
1736330161.0507522,6500,2.118971109390259
1736330165.288082,7000,2.135345220565796
1736330172.340441,7500,2.135864734649658
1736330176.0280614,8000,2.135383129119873
1736330181.0014918,8500,2.132709503173828
1736330185.6668446,9000,2.1284830570220947
1736330193.241427,9500,2.1370370388031006
1736330197.008979,10000,2.1463096141815186
